actionNumber;clock;timeActual;period;periodType;actionType;subType;qualifiers;personId;x;y;possession;scoreHome;scoreAway;edited;orderNumber;xLegacy;yLegacy;isFieldGoal;side;description;personIdsFilter;teamId;teamTricode;descriptor;jumpBallRecoveredName;jumpBallWonPlayerName;jumpBallWonPersonId;jumpBallLostPlayerName;jumpBallLostPersonId;officialId;turnoverTotal;playerName;playerNameI;foulPersonalTotal;foulTechnicalTotal;foulDrawnPlayerName;foulDrawnPersonId;shotResult;pointsTotal;shotDistance;assistPlayerNameInitial;assistPersonId;assistTotal;shotActionNumber;reboundTotal;reboundDefensiveTotal;reboundOffensiveTotal;blockPlayerName;blockPersonId;jumpBallRecoverdPersonId;stealPlayerName;stealPersonId;gameId;value;YEAR;isTargetScoreLastPeriod;area;areaDetail;shortFormattedClock;jerseyNumber
2;PT12M00.00S;2020-12-23T00:06:19Z;1;REGULAR;period;start;null;0;null;null;0;0;0;2020-12-23T00:06:19Z;20;null;null;0;null;Period Start;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
4;PT11M58.00S;2020-12-23T00:06:25.200Z;1;REGULAR;jumpball;recovered;null;0;null;null;1.610.612.751;0;0;2020-12-23T00:06:25Z;40;null;null;0;null;Jump Ball D. Jordan vs. J. Wiseman: Tip to Team (BKN);201599, 1630164;1.610.612.751;BKN;startperiod;Team (BKN);Jordan;201.599;Wiseman;1.630.164;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
7;PT11M50.00S;2020-12-23T00:06:46Z;1;REGULAR;turnover;out-of-bounds;null;201.599;null;null;1.610.612.751;0;0;2020-12-23T00:06:54Z;70;null;null;0;null;D. Jordan bad pass out-of-bounds TURNOVER (1 TO);201599;1.610.612.751;BKN;bad pass;null;null;null;null;null;202.053;1;Jordan;D. Jordan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
8;PT11M38.00S;2020-12-23T00:07:04.400Z;1;REGULAR;foul;personal;2freethrow;202.681;null;null;1.610.612.744;0;0;2020-12-23T00:07:20Z;80;null;null;0;null;K. Irving shooting personal FOUL (1 PF) (Curry 2 FT);202681, 201939;1.610.612.751;BKN;shooting;null;null;null;null;null;202.053;null;Irving;K. Irving;1;0;Curry;201.939;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
10;PT11M38.00S;2020-12-23T00:07:26Z;1;REGULAR;freethrow;1 of 2;fromturnover;201.939;null;null;1.610.612.744;0;1;2020-12-23T00:07:26Z;100;null;null;0;null;S. Curry Free Throw 1 of 2 (1 PTS);201939;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Curry;S. Curry;null;null;null;null;Made;1;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
11;PT11M38.00S;2020-12-23T00:07:39.700Z;1;REGULAR;freethrow;2 of 2;fromturnover;201.939;null;null;1.610.612.744;0;2;2020-12-23T00:07:39Z;110;null;null;0;null;S. Curry Free Throw 2 of 2 (2 PTS);201939;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Curry;S. Curry;null;null;null;null;Made;2;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
12;PT11M22.00S;2020-12-23T00:07:56.900Z;1;REGULAR;2pt;Jump Shot;null;202.681;71;50;1.610.612.751;2;2;2020-12-23T00:08:08Z;120;-2;220;1;right;K. Irving 21' pullup Jump Shot (2 PTS) (K. Durant 1 AST);202681, 201142;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Made;2;21,97;K. Durant;201.142;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
13;PT11M11.00S;2020-12-23T00:08:08Z;1;REGULAR;2pt;DUNK;pointsinthepaint;1.630.164;5;48;1.610.612.744;2;4;2020-12-23T00:08:22Z;130;9;-2;1;left;J. Wiseman cutting DUNK (2 PTS) (A. Wiggins 1 AST);1630164, 203952;1.610.612.744;GSW;cutting;null;null;null;null;null;null;null;Wiseman;J. Wiseman;null;null;null;null;Made;2;0,98;A. Wiggins;203.952;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
16;PT10M49.00S;2020-12-23T00:08:29.900Z;1;REGULAR;3pt;Jump Shot;null;201.142;67;46;1.610.612.751;5;4;2020-12-23T00:08:35Z;150;-20;258;1;right;K. Durant 25' 3PT pullup (3 PTS) (J. Harris 1 AST);201142, 203925;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Made;3;25,88;J. Harris;203.925;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
18;PT10M31.00S;2020-12-23T00:08:47.800Z;1;REGULAR;3pt;Jump Shot;null;203.952;10;3;1.610.612.744;5;4;2020-12-23T00:09:00Z;170;235;46;1;left;MISS A. Wiggins 3PT;203952;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiggins;A. Wiggins;null;null;null;null;Missed;null;23,93;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
19;PT10M25.00S;2020-12-23T00:08:53.800Z;1;REGULAR;rebound;defensive;null;203.925;null;null;1.610.612.751;5;4;2020-12-23T00:11:19Z;180;null;null;0;null;J. Harris REBOUND (Off:0 Def:1);203925;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;null;null;null;null;null;null;18;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
